Country,Happiness score,GDP per capita
Kosovo,6.455,1.362
Guatemala*,6.262,1.274
Mexico,6.128,1.552
Mauritius,6.071,1.591
Moldova,5.857,1.417
Mongolia,5.761,1.393
Dominican Republic,5.737,1.538
Malaysia,5.711,1.689
Montenegro,5.547,1.573
Ecuador,5.533,1.352
Libya*,5.33,1.476
Indonesia,5.24,1.382
Albania,5.199,1.439
Morocco,5.06,1.208
Georgia,4.973,1.467
Gabon,4.958,1.459
Egypt,4.288,1.388
Jordan,4.152,1.324
India,3.777,1.167
